application_number,family_name,first_name,middle_name,sex,strand,course,general_ability,verbal_aptitude,numerical_aptitude,spatial_aptitude,perceptual_aptitude,manual_dexterity,date_taken
APP-1002,Taylor,Jessica,Grace,1,ABM,4.0,39.0,43.0,30.0,49.0,38.0,24.0,2025-01-01
APP-1003,Martin,Patricia,Grace,1,TVL,Bachelor of Secondary Education - Science,35.0,33.0,25.0,23.0,26.0,35.0,2025-01-01
APP-1004,Hernandez,Barbara,Jay,0,GAS,Bachelor of Secondary Education - Filipino,25.0,50.0,38.0,43.0,36.0,26.0,2025-01-01
APP-1005,Brown,Susan,James,0,HUMSS,Bachelor of Secondary Education - Filipino,50.0,38.0,46.0,43.0,42.0,35.0,2025-01-01
APP-1006,Garcia,Susan,Rose,1,TVL,7.0,31.0,44.0,34.0,23.0,20.0,20.0,2025-01-01
APP-1007,Rodriguez,Jennifer,Hope,0,STEM,Bachelor of Secondary Education - Mathematics,20.0,23.0,34.0,29.0,30.0,25.0,2025-01-01
APP-1008,Anderson,Patricia,Claire,1,STEM,7.0,34.0,26.0,38.0,46.0,34.0,27.0,2025-01-01
APP-1009,Davis,Jessica,Louise,0,ABM,7.0,35.0,27.0,42.0,44.0,39.0,41.0,2025-01-01
APP-1010,Jackson,Michael,James,1,STEM,6.0,48.0,40.0,40.0,21.0,42.0,20.0,2025-01-01
APP-1011,Martinez,Karen,Jean,0,TVL,Bachelor of Secondary Education - English,42.0,24.0,49.0,44.0,23.0,46.0,2025-01-01
APP-1012,Taylor,Robert,Claire,1,STEM,Bachelor of Secondary Education - Science,26.0,47.0,23.0,41.0,26.0,31.0,2025-01-01
APP-1013,Wilson,Barbara,Mae,0,STEM,Bachelor of Science in Business Administration - Marketing Management,32.0,20.0,29.0,33.0,38.0,32.0,2025-01-01
APP-1014,Garcia,Thomas,Jay,1,STEM,7.0,24.0,37.0,35.0,36.0,42.0,41.0,2025-01-01
APP-1015,Lopez,Linda,Jay,1,ABM,2.0,47.0,21.0,25.0,41.0,32.0,26.0,2025-01-01
APP-1016,Johnson,James,Mae,1,GAS,Bachelor of Science in Business Administration - Financial Management,44.0,46.0,41.0,33.0,48.0,36.0,2025-01-01
APP-1017,Martin,Barbara,Lee,0,GAS,Bachelor of Secondary Education - Mathematics,27.0,22.0,30.0,39.0,22.0,31.0,2025-01-01
APP-1018,Lopez,Richard,Louise,0,HUMSS,Bachelor of Science in Business Administration - Marketing Management,40.0,29.0,36.0,34.0,32.0,21.0,2025-01-01
APP-1019,Miller,Susan,Jay,1,ABM,Bachelor of Secondary Education - Filipino,45.0,33.0,32.0,30.0,28.0,27.0,2025-01-01
APP-1020,Gonzalez,Mary,Lee,1,STEM,9.0,34.0,35.0,46.0,28.0,25.0,28.0,2025-01-01
APP-1021,Martinez,Joseph,Alan,0,ABM,7.0,26.0,27.0,30.0,41.0,37.0,38.0,2025-01-01
APP-1022,Jackson,Elizabeth,Dean,0,ABM,Bachelor of Science in Public Administration,45.0,42.0,44.0,39.0,24.0,46.0,2025-01-01
APP-1023,Thomas,David,Lee,0,ABM,6.0,32.0,25.0,49.0,46.0,22.0,45.0,2025-01-01
APP-1024,Rodriguez,Jessica,Marie,0,HUMSS,5.0,37.0,47.0,43.0,23.0,40.0,27.0,2025-01-01
APP-1025,Jones,Michael,Hope,0,ABM,Bachelor of Science in Business Administration - Marketing Management,47.0,36.0,29.0,50.0,22.0,42.0,2025-01-01
APP-1026,Lopez,Michael,Ann,1,STEM,Bachelor of Secondary Education - Science,26.0,44.0,26.0,43.0,48.0,34.0,2025-01-01
APP-1027,Moore,Jennifer,Ray,1,STEM,Bachelor of Secondary Education - Social Studies,47.0,46.0,39.0,50.0,27.0,37.0,2025-01-01
APP-1028,Williams,Joseph,Rose,0,HUMSS,Bachelor of Science in Business Administration - Financial Management,39.0,22.0,48.0,44.0,25.0,24.0,2025-01-01
APP-1029,Jackson,Michael,Jay,1,GAS,Bachelor of Secondary Education - Mathematics,47.0,45.0,28.0,22.0,20.0,44.0,2025-01-01
APP-1030,Garcia,Michael,Louise,0,STEM,4.0,27.0,47.0,44.0,48.0,30.0,27.0,2025-01-01
APP-1001,Anderson,Barbara,Claire,1,STEM,7.0,25.0,39.0,28.0,26.0,23.0,44.0,2025-01-01
APP-1002,Martinez,Jennifer,Louise,1,ABM,4.0,39.0,43.0,30.0,49.0,38.0,24.0,2025-01-01
APP-1003,Martin,Joseph,Hope,1,TVL,Bachelor of Secondary Education - Science,35.0,33.0,25.0,23.0,26.0,35.0,2025-01-01
APP-1004,Gonzalez,Sarah,Scott,0,GAS,Bachelor of Secondary Education - Filipino,25.0,50.0,38.0,43.0,36.0,26.0,2025-01-01
APP-1005,Davis,Elizabeth,Lee,0,HUMSS,Bachelor of Secondary Education - Filipino,50.0,38.0,46.0,43.0,42.0,35.0,2025-01-01
APP-1006,Anderson,Richard,Claire,1,TVL,7.0,31.0,44.0,34.0,23.0,20.0,20.0,2025-01-01
APP-1007,Martin,Sarah,Faith,0,STEM,Bachelor of Secondary Education - Mathematics,20.0,23.0,34.0,29.0,30.0,25.0,2025-01-01
APP-1008,Taylor,Thomas,Ivy,1,STEM,7.0,34.0,26.0,38.0,46.0,34.0,27.0,2025-01-01
APP-1009,Garcia,James,Dean,0,ABM,7.0,35.0,27.0,42.0,44.0,39.0,41.0,2025-01-01
APP-1010,Taylor,Richard,Mae,1,STEM,6.0,48.0,40.0,40.0,21.0,42.0,20.0,2025-01-01
APP-1011,Wilson,Susan,Rose,0,TVL,Bachelor of Secondary Education - English,42.0,24.0,49.0,44.0,23.0,46.0,2025-01-01
APP-1012,Smith,Thomas,Ray,1,STEM,Bachelor of Secondary Education - Science,26.0,47.0,23.0,41.0,26.0,31.0,2025-01-01
APP-1013,Gonzalez,Sarah,Paul,0,STEM,Bachelor of Science in Business Administration - Marketing Management,32.0,20.0,29.0,33.0,38.0,32.0,2025-01-01
APP-1014,Taylor,James,Marie,1,STEM,7.0,24.0,37.0,35.0,36.0,42.0,41.0,2025-01-01
APP-1015,Johnson,Michael,Ivy,1,ABM,2.0,47.0,21.0,25.0,41.0,32.0,26.0,2025-01-01
APP-1016,Rodriguez,Jennifer,Claire,1,GAS,Bachelor of Science in Business Administration - Financial Management,44.0,46.0,41.0,33.0,48.0,36.0,2025-01-01
APP-1017,Smith,Elizabeth,Claire,0,GAS,Bachelor of Secondary Education - Mathematics,27.0,22.0,30.0,39.0,22.0,31.0,2025-01-01
APP-1018,Lopez,John,Kate,0,HUMSS,Bachelor of Science in Business Administration - Marketing Management,40.0,29.0,36.0,34.0,32.0,21.0,2025-01-01
APP-1019,Rodriguez,Jennifer,Hope,1,ABM,Bachelor of Secondary Education - Filipino,45.0,33.0,32.0,30.0,28.0,27.0,2025-01-01
APP-1020,Garcia,Sarah,Paul,1,STEM,9.0,34.0,35.0,46.0,28.0,25.0,28.0,2025-01-01
APP-1021,Hernandez,Charles,Jay,0,ABM,7.0,26.0,27.0,30.0,41.0,37.0,38.0,2025-01-01
APP-1022,Wilson,Joseph,Claire,0,ABM,Bachelor of Science in Public Administration,45.0,42.0,44.0,39.0,24.0,46.0,2025-01-01
APP-1023,Brown,David,Dean,0,ABM,6.0,32.0,25.0,49.0,46.0,22.0,45.0,2025-01-01
APP-1024,Moore,Barbara,Louise,0,HUMSS,5.0,37.0,47.0,43.0,23.0,40.0,27.0,2025-01-01
APP-1025,Davis,Susan,Grace,0,ABM,Bachelor of Science in Business Administration - Marketing Management,47.0,36.0,29.0,50.0,22.0,42.0,2025-01-01
APP-1026,Gonzalez,Mary,Grace,1,STEM,Bachelor of Secondary Education - Science,26.0,44.0,26.0,43.0,48.0,34.0,2025-01-01
APP-1027,Martinez,David,Jean,1,STEM,Bachelor of Secondary Education - Social Studies,47.0,46.0,39.0,50.0,27.0,37.0,2025-01-01
APP-1028,Wilson,Barbara,Louise,0,HUMSS,Bachelor of Science in Business Administration - Financial Management,39.0,22.0,48.0,44.0,25.0,24.0,2025-01-01
APP-1029,Davis,William,Louise,1,GAS,Bachelor of Secondary Education - Mathematics,47.0,45.0,28.0,22.0,20.0,44.0,2025-01-01
APP-1030,Moore,Sarah,Faith,0,STEM,4.0,27.0,47.0,44.0,48.0,30.0,27.0,2025-01-01
APP-1001,Smith,Richard,Ivy,1,STEM,7.0,25.0,39.0,28.0,26.0,23.0,44.0,2025-01-01
APP-1002,Brown,Mary,Alan,1,ABM,4.0,39.0,43.0,30.0,49.0,38.0,24.0,2025-01-01
APP-1003,Anderson,John,Grace,1,TVL,Bachelor of Secondary Education - Science,35.0,33.0,25.0,23.0,26.0,35.0,2025-01-01
APP-1004,Smith,Sarah,Claire,0,GAS,Bachelor of Secondary Education - Filipino,25.0,50.0,38.0,43.0,36.0,26.0,2025-01-01
APP-1005,Taylor,Joseph,Paul,0,HUMSS,Bachelor of Secondary Education - Filipino,50.0,38.0,46.0,43.0,42.0,35.0,2025-01-01
APP-1006,Taylor,William,Rose,1,TVL,7.0,31.0,44.0,34.0,23.0,20.0,20.0,2025-01-01
APP-1007,Gonzalez,John,Kate,0,STEM,Bachelor of Secondary Education - Mathematics,20.0,23.0,34.0,29.0,30.0,25.0,2025-01-01
APP-1008,Gonzalez,William,Paul,1,STEM,7.0,34.0,26.0,38.0,46.0,34.0,27.0,2025-01-01
APP-1009,Rodriguez,Jessica,Grace,0,ABM,7.0,35.0,27.0,42.0,44.0,39.0,41.0,2025-01-01
APP-1010,Wilson,Jessica,Rose,1,STEM,6.0,48.0,40.0,40.0,21.0,42.0,20.0,2025-01-01
APP-1011,Hernandez,Patricia,Jay,0,TVL,Bachelor of Secondary Education - English,42.0,24.0,49.0,44.0,23.0,46.0,2025-01-01
APP-1012,Rodriguez,John,Marie,1,STEM,Bachelor of Secondary Education - Science,26.0,47.0,23.0,41.0,26.0,31.0,2025-01-01
APP-1013,Wilson,Richard,Jean,0,STEM,Bachelor of Science in Business Administration - Marketing Management,32.0,20.0,29.0,33.0,38.0,32.0,2025-01-01
APP-1014,Rodriguez,Thomas,Alan,1,STEM,7.0,24.0,37.0,35.0,36.0,42.0,41.0,2025-01-01
APP-1015,Moore,Karen,Ann,1,ABM,2.0,47.0,21.0,25.0,41.0,32.0,26.0,2025-01-01
APP-1016,Jones,Thomas,Rose,1,GAS,Bachelor of Science in Business Administration - Financial Management,44.0,46.0,41.0,33.0,48.0,36.0,2025-01-01
APP-1017,Martin,Mary,Scott,0,GAS,Bachelor of Secondary Education - Mathematics,27.0,22.0,30.0,39.0,22.0,31.0,2025-01-01
APP-1018,Martin,John,Rose,0,HUMSS,Bachelor of Science in Business Administration - Marketing Management,40.0,29.0,36.0,34.0,32.0,21.0,2025-01-01
APP-1019,Gonzalez,John,Scott,1,ABM,Bachelor of Secondary Education - Filipino,45.0,33.0,32.0,30.0,28.0,27.0,2025-01-01
APP-1020,Martin,William,Ivy,1,STEM,9.0,34.0,35.0,46.0,28.0,25.0,28.0,2025-01-01
APP-1021,Hernandez,Michael,Jay,0,ABM,7.0,26.0,27.0,30.0,41.0,37.0,38.0,2025-01-01
APP-1022,Davis,David,Dean,0,ABM,Bachelor of Science in Public Administration,45.0,42.0,44.0,39.0,24.0,46.0,2025-01-01
APP-1023,Brown,Joseph,Ivy,0,ABM,6.0,32.0,25.0,49.0,46.0,22.0,45.0,2025-01-01
APP-1024,Miller,Joseph,Paul,0,HUMSS,5.0,37.0,47.0,43.0,23.0,40.0,27.0,2025-01-01
APP-1025,Williams,William,Faith,0,ABM,Bachelor of Science in Business Administration - Marketing Management,47.0,36.0,29.0,50.0,22.0,42.0,2025-01-01
APP-1026,Hernandez,James,Rose,1,STEM,Bachelor of Secondary Education - Science,26.0,44.0,26.0,43.0,48.0,34.0,2025-01-01
APP-1027,Garcia,Barbara,Faith,1,STEM,Bachelor of Secondary Education - Social Studies,47.0,46.0,39.0,50.0,27.0,37.0,2025-01-01
APP-1028,Garcia,Michael,James,0,HUMSS,Bachelor of Science in Business Administration - Financial Management,39.0,22.0,48.0,44.0,25.0,24.0,2025-01-01
APP-1029,Smith,Karen,Ray,1,GAS,Bachelor of Secondary Education - Mathematics,47.0,45.0,28.0,22.0,20.0,44.0,2025-01-01
APP-1030,Gonzalez,Barbara,Alan,0,STEM,4.0,27.0,47.0,44.0,48.0,30.0,27.0,2025-01-01
APP-1001,Hernandez,Jennifer,Ann,1,STEM,7.0,25.0,39.0,28.0,26.0,23.0,44.0,2025-01-01
APP-1002,Wilson,Jessica,Kate,1,ABM,4.0,39.0,43.0,30.0,49.0,38.0,24.0,2025-01-01
APP-1003,Gonzalez,Richard,Marie,1,TVL,Bachelor of Secondary Education - Science,35.0,33.0,25.0,23.0,26.0,35.0,2025-01-01
APP-1004,Jones,Sarah,Lee,0,GAS,Bachelor of Secondary Education - Filipino,25.0,50.0,38.0,43.0,36.0,26.0,2025-01-01
APP-1005,Davis,Robert,Dean,0,HUMSS,Bachelor of Secondary Education - Filipino,50.0,38.0,46.0,43.0,42.0,35.0,2025-01-01
APP-1006,Martin,Susan,Claire,1,TVL,7.0,31.0,44.0,34.0,23.0,20.0,20.0,2025-01-01
APP-1007,Martinez,Joseph,Dean,0,STEM,Bachelor of Secondary Education - Mathematics,20.0,23.0,34.0,29.0,30.0,25.0,2025-01-01
APP-1008,Smith,Sarah,Paul,1,STEM,7.0,34.0,26.0,38.0,46.0,34.0,27.0,2025-01-01
APP-1009,Taylor,Susan,Hope,0,ABM,7.0,35.0,27.0,42.0,44.0,39.0,41.0,2025-01-01
APP-1010,Martin,Charles,Alan,1,STEM,6.0,48.0,40.0,40.0,21.0,42.0,20.0,2025-01-01
APP-1011,Johnson,William,Hope,0,TVL,Bachelor of Secondary Education - English,42.0,24.0,49.0,44.0,23.0,46.0,2025-01-01
APP-1012,Williams,Susan,Marie,1,STEM,Bachelor of Secondary Education - Science,26.0,47.0,23.0,41.0,26.0,31.0,2025-01-01
APP-1013,Thomas,Thomas,Ann,0,STEM,Bachelor of Science in Business Administration - Marketing Management,32.0,20.0,29.0,33.0,38.0,32.0,2025-01-01
APP-1014,Anderson,Thomas,James,1,STEM,7.0,24.0,37.0,35.0,36.0,42.0,41.0,2025-01-01
APP-1015,Miller,Michael,Ray,1,ABM,2.0,47.0,21.0,25.0,41.0,32.0,26.0,2025-01-01
APP-1016,Martin,Elizabeth,Louise,1,GAS,Bachelor of Science in Business Administration - Financial Management,44.0,46.0,41.0,33.0,48.0,36.0,2025-01-01
APP-1017,Miller,Jessica,Kate,0,GAS,Bachelor of Secondary Education - Mathematics,27.0,22.0,30.0,39.0,22.0,31.0,2025-01-01
APP-1018,Rodriguez,Susan,Jay,0,HUMSS,Bachelor of Science in Business Administration - Marketing Management,40.0,29.0,36.0,34.0,32.0,21.0,2025-01-01
APP-1019,Gonzalez,Thomas,Hope,1,ABM,Bachelor of Secondary Education - Filipino,45.0,33.0,32.0,30.0,28.0,27.0,2025-01-01
APP-1020,Martin,Joseph,Mae,1,STEM,9.0,34.0,35.0,46.0,28.0,25.0,28.0,2025-01-01
APP-1021,Williams,Joseph,Jay,0,ABM,7.0,26.0,27.0,30.0,41.0,37.0,38.0,2025-01-01
APP-1022,Gonzalez,Richard,Kate,0,ABM,Bachelor of Science in Public Administration,45.0,42.0,44.0,39.0,24.0,46.0,2025-01-01
APP-1023,Williams,Charles,Ray,0,ABM,6.0,32.0,25.0,49.0,46.0,22.0,45.0,2025-01-01
APP-1024,Gonzalez,David,Paul,0,HUMSS,5.0,37.0,47.0,43.0,23.0,40.0,27.0,2025-01-01
APP-1025,Taylor,Jennifer,Louise,0,ABM,Bachelor of Science in Business Administration - Marketing Management,47.0,36.0,29.0,50.0,22.0,42.0,2025-01-01
APP-1026,Smith,Karen,Kate,1,STEM,Bachelor of Secondary Education - Science,26.0,44.0,26.0,43.0,48.0,34.0,2025-01-01
APP-1027,Johnson,Jessica,Paul,1,STEM,Bachelor of Secondary Education - Social Studies,47.0,46.0,39.0,50.0,27.0,37.0,2025-01-01
APP-1028,Moore,David,Rose,0,HUMSS,Bachelor of Science in Business Administration - Financial Management,39.0,22.0,48.0,44.0,25.0,24.0,2025-01-01
APP-1029,Jones,Mary,Dean,1,GAS,Bachelor of Secondary Education - Mathematics,47.0,45.0,28.0,22.0,20.0,44.0,2025-01-01
APP-1030,Taylor,Richard,Rose,0,STEM,4.0,27.0,47.0,44.0,48.0,30.0,27.0,2025-01-01
APP-1001,Martin,David,Ivy,1,STEM,7.0,25.0,39.0,28.0,26.0,23.0,44.0,2025-01-01
APP-1002,Williams,Jessica,Kate,1,ABM,4.0,39.0,43.0,30.0,49.0,38.0,24.0,2025-01-01
APP-1003,Williams,Robert,Claire,1,TVL,Bachelor of Secondary Education - Science,35.0,33.0,25.0,23.0,26.0,35.0,2025-01-01
APP-1004,Miller,Mary,Grace,0,GAS,Bachelor of Secondary Education - Filipino,25.0,50.0,38.0,43.0,36.0,26.0,2025-01-01
APP-1005,Rodriguez,Barbara,Faith,0,HUMSS,Bachelor of Secondary Education - Filipino,50.0,38.0,46.0,43.0,42.0,35.0,2025-01-01
APP-1006,Martin,William,Kate,1,TVL,7.0,31.0,44.0,34.0,23.0,20.0,20.0,2025-01-01
APP-1007,Davis,Mary,Scott,0,STEM,Bachelor of Secondary Education - Mathematics,20.0,23.0,34.0,29.0,30.0,25.0,2025-01-01
APP-1008,Garcia,Joseph,Rose,1,STEM,7.0,34.0,26.0,38.0,46.0,34.0,27.0,2025-01-01
APP-1009,Miller,Mary,James,0,ABM,7.0,35.0,27.0,42.0,44.0,39.0,41.0,2025-01-01
APP-1010,Wilson,Jessica,Hope,1,STEM,6.0,48.0,40.0,40.0,21.0,42.0,20.0,2025-01-01
APP-1011,Davis,Michael,Kate,0,TVL,Bachelor of Secondary Education - English,42.0,24.0,49.0,44.0,23.0,46.0,2025-01-01
APP-1012,Smith,James,Lee,1,STEM,Bachelor of Secondary Education - Science,26.0,47.0,23.0,41.0,26.0,31.0,2025-01-01
APP-1013,Smith,Michael,Kate,0,STEM,Bachelor of Science in Business Administration - Marketing Management,32.0,20.0,29.0,33.0,38.0,32.0,2025-01-01
APP-1014,Martin,Charles,Claire,1,STEM,7.0,24.0,37.0,35.0,36.0,42.0,41.0,2025-01-01
APP-1015,Taylor,Sarah,Rose,1,ABM,2.0,47.0,21.0,25.0,41.0,32.0,26.0,2025-01-01
APP-1016,Miller,Barbara,Scott,1,GAS,Bachelor of Science in Business Administration - Financial Management,44.0,46.0,41.0,33.0,48.0,36.0,2025-01-01
APP-1017,Jackson,Sarah,Jean,0,GAS,Bachelor of Secondary Education - Mathematics,27.0,22.0,30.0,39.0,22.0,31.0,2025-01-01
APP-1018,Smith,Thomas,Ivy,0,HUMSS,Bachelor of Science in Business Administration - Marketing Management,40.0,29.0,36.0,34.0,32.0,21.0,2025-01-01
APP-1019,Wilson,James,Lee,1,ABM,Bachelor of Secondary Education - Filipino,45.0,33.0,32.0,30.0,28.0,27.0,2025-01-01
APP-1020,Martinez,Joseph,Alan,1,STEM,9.0,34.0,35.0,46.0,28.0,25.0,28.0,2025-01-01
APP-1021,Martin,Thomas,Paul,0,ABM,7.0,26.0,27.0,30.0,41.0,37.0,38.0,2025-01-01
APP-1022,Davis,Joseph,Ivy,0,ABM,Bachelor of Science in Public Administration,45.0,42.0,44.0,39.0,24.0,46.0,2025-01-01
APP-1023,Martin,William,Faith,0,ABM,6.0,32.0,25.0,49.0,46.0,22.0,45.0,2025-01-01
APP-1024,Thomas,William,Grace,0,HUMSS,5.0,37.0,47.0,43.0,23.0,40.0,27.0,2025-01-01
APP-1025,Garcia,Joseph,Grace,0,ABM,Bachelor of Science in Business Administration - Marketing Management,47.0,36.0,29.0,50.0,22.0,42.0,2025-01-01
APP-1026,Anderson,Karen,Jean,1,STEM,Bachelor of Secondary Education - Science,26.0,44.0,26.0,43.0,48.0,34.0,2025-01-01
APP-1027,Lopez,Elizabeth,James,1,STEM,Bachelor of Secondary Education - Social Studies,47.0,46.0,39.0,50.0,27.0,37.0,2025-01-01
APP-1028,Thomas,Sarah,Jean,0,HUMSS,Bachelor of Science in Business Administration - Financial Management,39.0,22.0,48.0,44.0,25.0,24.0,2025-01-01
APP-1029,Brown,Linda,Marie,1,GAS,Bachelor of Secondary Education - Mathematics,47.0,45.0,28.0,22.0,20.0,44.0,2025-01-01
APP-1030,Martinez,Joseph,James,0,STEM,4.0,27.0,47.0,44.0,48.0,30.0,27.0,2025-01-01
APP-1001,Thomas,Charles,Rose,1,STEM,7.0,25.0,39.0,28.0,26.0,23.0,44.0,2025-01-01
APP-1002,Wilson,Mary,Faith,1,ABM,4.0,39.0,43.0,30.0,49.0,38.0,24.0,2025-01-01
APP-1003,Rodriguez,Jennifer,Scott,1,TVL,Bachelor of Secondary Education - Science,35.0,33.0,25.0,23.0,26.0,35.0,2025-01-01
APP-1004,Smith,Elizabeth,Rose,0,GAS,Bachelor of Secondary Education - Filipino,25.0,50.0,38.0,43.0,36.0,26.0,2025-01-01
APP-1005,Martin,Elizabeth,Claire,0,HUMSS,Bachelor of Secondary Education - Filipino,50.0,38.0,46.0,43.0,42.0,35.0,2025-01-01
APP-1006,Jackson,Robert,Jean,1,TVL,7.0,31.0,44.0,34.0,23.0,20.0,20.0,2025-01-01
APP-1007,Smith,Jennifer,Rose,0,STEM,Bachelor of Secondary Education - Mathematics,20.0,23.0,34.0,29.0,30.0,25.0,2025-01-01
APP-1008,Martin,Elizabeth,Mae,1,STEM,7.0,34.0,26.0,38.0,46.0,34.0,27.0,2025-01-01
APP-1009,Jackson,Karen,Alan,0,ABM,7.0,35.0,27.0,42.0,44.0,39.0,41.0,2025-01-01
APP-1010,Smith,Linda,Dean,1,STEM,6.0,48.0,40.0,40.0,21.0,42.0,20.0,2025-01-01
APP-1011,Johnson,Patricia,Lee,0,TVL,Bachelor of Secondary Education - English,42.0,24.0,49.0,44.0,23.0,46.0,2025-01-01
APP-1012,Moore,Mary,Jay,1,STEM,Bachelor of Secondary Education - Science,26.0,47.0,23.0,41.0,26.0,31.0,2025-01-01
APP-1013,Wilson,William,Scott,0,STEM,Bachelor of Science in Business Administration - Marketing Management,32.0,20.0,29.0,33.0,38.0,32.0,2025-01-01
APP-1014,Martinez,Richard,Dean,1,STEM,7.0,24.0,37.0,35.0,36.0,42.0,41.0,2025-01-01
APP-1015,Martin,Robert,Claire,1,ABM,2.0,47.0,21.0,25.0,41.0,32.0,26.0,2025-01-01
APP-1016,Williams,David,Dean,1,GAS,Bachelor of Science in Business Administration - Financial Management,44.0,46.0,41.0,33.0,48.0,36.0,2025-01-01
APP-1017,Martinez,David,Jean,0,GAS,Bachelor of Secondary Education - Mathematics,27.0,22.0,30.0,39.0,22.0,31.0,2025-01-01
APP-1018,Davis,Jessica,Rose,0,HUMSS,Bachelor of Science in Business Administration - Marketing Management,40.0,29.0,36.0,34.0,32.0,21.0,2025-01-01
APP-1019,Moore,John,Ivy,1,ABM,Bachelor of Secondary Education - Filipino,45.0,33.0,32.0,30.0,28.0,27.0,2025-01-01
APP-1020,Jackson,James,Faith,1,STEM,9.0,34.0,35.0,46.0,28.0,25.0,28.0,2025-01-01
APP-1021,Lopez,Elizabeth,Ann,0,ABM,7.0,26.0,27.0,30.0,41.0,37.0,38.0,2025-01-01
APP-1022,Lopez,Joseph,Dean,0,ABM,Bachelor of Science in Public Administration,45.0,42.0,44.0,39.0,24.0,46.0,2025-01-01
APP-1023,Miller,David,Louise,0,ABM,6.0,32.0,25.0,49.0,46.0,22.0,45.0,2025-01-01
APP-1024,Jackson,Thomas,Kate,0,HUMSS,5.0,37.0,47.0,43.0,23.0,40.0,27.0,2025-01-01
APP-1025,Hernandez,Jessica,Marie,0,ABM,Bachelor of Science in Business Administration - Marketing Management,47.0,36.0,29.0,50.0,22.0,42.0,2025-01-01
APP-1026,Lopez,Charles,Jean,1,STEM,Bachelor of Secondary Education - Science,26.0,44.0,26.0,43.0,48.0,34.0,2025-01-01
APP-1027,Gonzalez,Susan,Ivy,1,STEM,Bachelor of Secondary Education - Social Studies,47.0,46.0,39.0,50.0,27.0,37.0,2025-01-01
APP-1028,Williams,Jennifer,James,0,HUMSS,Bachelor of Science in Business Administration - Financial Management,39.0,22.0,48.0,44.0,25.0,24.0,2025-01-01
APP-1029,Garcia,Barbara,Jean,1,GAS,Bachelor of Secondary Education - Mathematics,47.0,45.0,28.0,22.0,20.0,44.0,2025-01-01
APP-1030,Rodriguez,Karen,Louise,0,STEM,4.0,27.0,47.0,44.0,48.0,30.0,27.0,2025-01-01
APP-1001,Jackson,Karen,Scott,1,STEM,7.0,25.0,39.0,28.0,26.0,23.0,44.0,2025-01-01
APP-1002,Johnson,Joseph,Ray,1,ABM,4.0,39.0,43.0,30.0,49.0,38.0,24.0,2025-01-01
APP-1003,Thomas,Mary,Faith,1,TVL,Bachelor of Secondary Education - Science,35.0,33.0,25.0,23.0,26.0,35.0,2025-01-01
APP-1004,Miller,John,Faith,0,GAS,Bachelor of Secondary Education - Filipino,25.0,50.0,38.0,43.0,36.0,26.0,2025-01-01
APP-1005,Moore,Elizabeth,Claire,0,HUMSS,Bachelor of Secondary Education - Filipino,50.0,38.0,46.0,43.0,42.0,35.0,2025-01-01
APP-1006,Wilson,Mary,Ann,1,TVL,7.0,31.0,44.0,34.0,23.0,20.0,20.0,2025-01-01
APP-1007,Martinez,Jennifer,Jay,0,STEM,Bachelor of Secondary Education - Mathematics,20.0,23.0,34.0,29.0,30.0,25.0,2025-01-01
APP-1008,Jackson,Jennifer,Ann,1,STEM,7.0,34.0,26.0,38.0,46.0,34.0,27.0,2025-01-01
APP-1009,Anderson,Thomas,Marie,0,ABM,7.0,35.0,27.0,42.0,44.0,39.0,41.0,2025-01-01
APP-1010,Martin,Richard,James,1,STEM,6.0,48.0,40.0,40.0,21.0,42.0,20.0,2025-01-01
APP-1011,Johnson,Thomas,Kate,0,TVL,Bachelor of Secondary Education - English,42.0,24.0,49.0,44.0,23.0,46.0,2025-01-01
APP-1012,Gonzalez,Sarah,Hope,1,STEM,Bachelor of Secondary Education - Science,26.0,47.0,23.0,41.0,26.0,31.0,2025-01-01
APP-1013,Martinez,Robert,Claire,0,STEM,Bachelor of Science in Business Administration - Marketing Management,32.0,20.0,29.0,33.0,38.0,32.0,2025-01-01
APP-1014,Jackson,Barbara,Rose,1,STEM,7.0,24.0,37.0,35.0,36.0,42.0,41.0,2025-01-01
APP-1015,Williams,Jessica,Kate,1,ABM,2.0,47.0,21.0,25.0,41.0,32.0,26.0,2025-01-01
APP-1016,Moore,Joseph,Louise,1,GAS,Bachelor of Science in Business Administration - Financial Management,44.0,46.0,41.0,33.0,48.0,36.0,2025-01-01
APP-1017,Brown,Jennifer,Jay,0,GAS,Bachelor of Secondary Education - Mathematics,27.0,22.0,30.0,39.0,22.0,31.0,2025-01-01
APP-1018,Lopez,Karen,Alan,0,HUMSS,Bachelor of Science in Business Administration - Marketing Management,40.0,29.0,36.0,34.0,32.0,21.0,2025-01-01
APP-1019,Lopez,Jessica,Marie,1,ABM,Bachelor of Secondary Education - Filipino,45.0,33.0,32.0,30.0,28.0,27.0,2025-01-01
APP-1020,Wilson,David,Ray,1,STEM,9.0,34.0,35.0,46.0,28.0,25.0,28.0,2025-01-01
APP-1021,Lopez,Jessica,Lee,0,ABM,7.0,26.0,27.0,30.0,41.0,37.0,38.0,2025-01-01
APP-1022,Anderson,Elizabeth,Dean,0,ABM,Bachelor of Science in Public Administration,45.0,42.0,44.0,39.0,24.0,46.0,2025-01-01
APP-1023,Davis,Richard,Marie,0,ABM,6.0,32.0,25.0,49.0,46.0,22.0,45.0,2025-01-01
APP-1024,Johnson,William,Rose,0,HUMSS,5.0,37.0,47.0,43.0,23.0,40.0,27.0,2025-01-01
